message,sentiment_label
"buss down","Neutral"
"replying to men that r boring and don t find turtle funny my ex used to get jealous of me watching streampm horrible ex who doesn t like turtle","Negative"
"turtle what are you wearing","Neutral"
"yes it does he legally can t say it tho","Neutral"
"how many people are you playing with max","Neutral"
"replying to that s wildpm the gloves now weigh between 3 and 4 9 ounces a reduction of 1 to 1 5 ounces from previous models","Neutral"
"replying to that s wildpm but back to normal now","Negative"
"replying to the gloves now weigh between 3 and 4 9 ounces a reduction of 1 to 1 5 ounces from previous models pm you would think that would increase the knockout rates right since it s less padding and hurts more when it lands","Neutral"
"replying to but back to normal now pm true","Neutral"
"replying to you would think that would increase the knockout rates right since it s less padding and hurts more when it landspm yeh but i guess like 1lb at a lower class you either have the ko power or you don t surely","Neutral"
"idk man lol","Positive"
"replying to yeh but i guess like 1lb at a lower class you either have the ko power or you don t surely pm true","Neutral"
"yeah it s been weird lol","Positive"
"hi max how are you i haven t watched a stream in a while because college always keeps me busy how is it going","Neutral"
"and i ve seen a lot of complaints about more eye pokes happening again too","Neutral"
"7tv","Positive"
"any w s just got back","Positive"
"lol","Positive"
"replying to and i ve seen a lot of complaints about more eye pokes happening again toopm look at jim miller talk about them man haha","Neutral"
"hopefully more w s soon bro","Positive"
"replying to look at jim miller talk about them man hahapm lol i need to check it out","Neutral"
"replying to hopefully more w s soon bropm incoming","Positive"
"replying to incoming pm yessir","Positive"
"kinda busy for college but here we are happy for catch up a stream","Positive"
"jerry parker","Negative"
"yoo wsg adin n silky n lacy","Neutral"
"charmin soft m o d s","Neutral"
"krkrkrkrkrkkrkrkrkrkrkrkr","Neutral"
"w adin for removing kick logo for the boys stream","Positive"
"fuck laser hes kasons friend","Negative"
"tecca lowk underrated","Neutral"
"youtu be elueof8fxia si frwb44b2_ksbr7es taylorswiftsweatypussy","Negative"
"los anthem","Positive"
"lospollos is so handsome","Positive"
"los is the chicken nigga","Positive"
"holy crap los dragging the intro","Negative"
"he s coming soon my screen just shook","Positive"
"pull anita titty out","Negative"
"uptime","Neutral"
"this stream started 9 min ago","Neutral"
"lmao","Positive"
"in your top 5 btw","Positive"
"scripted","Negative"
"turn his tv off","Positive"
"everytime i listen to you its about drake and kendrick","Positive"
"its not enough","Positive"
"los do a little jiggle with ur nipples hard please","Positive"
"lmfaoooooooooooooooo","Positive"
"lollll","Positive"
"hurry up","Negative"
"do something","Negative"
"omfgggggggggg","Positive"
"drop it already","Positive"
"play repo tubby","Positive"
"your wrapped is cooked","Negative"
"lmao","Positive"
"gg","Positive"
"normal rest","Positive"
"idk","Neutral"
"ai rates you","Positive"
"test","Neutral"
"yea","Positive"
"finally a good song","Positive"
"is the game actually fun","Positive"
"mhm","Neutral"
"huh booty consumer","Positive"
"louie op","Positive"
"mhm","Neutral"
"he is busted tbh","Positive"
"dont starve is such a throw back","Positive"
"4th players name wot","Positive"
"mhm","Positive"
"huh","Neutral"
"door een","Neutral"
"mhm","Neutral"
"he s good","Positive"
"caseoh did","Neutral"
"speed1 speed1","Positive"
"louie","Positive"
"ad","Neutral"
"yo","Positive"
"he has really great burst he also shuts down doreen a lot you need to run him","Positive"
"bussin booty","Positive"
"ad","Negative"
"ayo","Positive"
"have you beat any of the bosses in it xqc","Positive"
"because you re bad","Negative"
"lol too adhd for that game","Negative"
"is this game f2p","Neutral"
"ww kick chat","Positive"
"cause adhd","Negative"
"mc runs tonight pagman","Positive"
"cuz u starve","Negative"
"wow is that a super grandpa","Positive"
"xqc do u have a rivals sponsor or will u not be able to play new tank til release emma frost looks insane","Neutral"
"dont starve is really good","Positive"
"yes","Positive"
"yall need more defenses home","Negative"
"alienvibe","Positive"
"turn it up muga","Negative"
"bald breaking yo shit","Negative"
"woof alert roof roof roof","Positive"
"ooo","Positive"
"listening","Positive"
"nuketown map lol","Positive"
"b b 33 33 33 33 33 33 33","Positive"
"pannnnnnn","Positive"
"defend the chimney","Positive"
"mc runs tonight pagman","Positive"
"life","Positive"
"place more barbed wire","Neutral"
"listening chorus synths","Positive"
"bro you have to fix your chimney atp","Negative"
"upstairs basement lol","Positive"
"o7 basement","Positive"
"music","Positive"
"you should rock brazil radio instead xqc lol","Positive"
"you re broke go and grag","Negative"
"bruh bruh bruh bruh bruh bruh bruh","Positive"
"frag","Neutral"
"kittyjam","Positive"
"who said that","Neutral"
"speed flying flying car lol haha","Positive"
"smartest kick chat lol","Negative"
"banger","Positive"
"watch speed","Positive"
"replying to it s okay enjoy him yelling and calling people broke life is fine okakpm sigh ye bro","Positive"
"ome20butthenameiswaylongersoyoucannotruinthechattingexperienceofothers","Neutral"
"hesright","Positive"
"successfully ragebaited","Positive"
"exatly u ult to not be on a disatvantage they have infinite health and ur team not","Negative"
"replying to who said that pm me","Neutral"
"he mad","Negative"
"classic arguing with a plastic 3 chatter","Negative"
"no way people are defending this lmaooo","Negative"
"same map nahhh","Neutral"
"bro not every ult is a clip we get it move on","Negative"
"actual bronze iq","Negative"
"replying to banning the best tank in the game is troll what s your rankpm idc if hes the best tank or not hes countered by so many and if thats too much for you just stay in gm pffttt","Negative"
"tomfoolery xqcbaited godd job chat","Positive"
"threatening a pick with ur ult to stop their momentum","Negative"
"bro watch speed lmao","Neutral"
"replying to i coomed to emmapm me2","Positive"
"replying to watch speedpm why you watch speed","Neutral"
"band","Neutral"
"nvm pog","Positive"
"speed1","Positive"
"finally a good ult","Positive"
"i just had a 5 meal deal from mcdonalds","Positive"
"massive 5 man","Positive"
"batjam luna ult","Positive"
"o7","Positive"
"is he gon play ow next","Neutral"
"big heals on fkn me","Positive"
"lol","Positive"
"chat trying to get x mad feelsweirdman but why","Negative"
"unc got rage baited and crashed out classic","Negative"
"xqc why u ulting luna ult lol you aint gonna kill her lil buddy lol","Negative"
"can t wait for him to defend this ult","Negative"
"xqc luna does 150 healing a second in her ult youre not killing her with strange ult buddy","Negative"
"lol","Positive"
"5 man loki clone stun pog","Positive"
"lol","Positive"
"the storm ult","Negative"
"new half sword update","Negative"
"lol","Positive"
"song chat","Negative"
"4heed just heal me","Negative"
"speed1","Positive"
"lol sharkdd","Neutral"
"xqc bro when replies on kick gonna change to a thread format","Negative"
"no way he did it again","Negative"
"is that a jeff lol","Neutral"
"speed1 kobe rip","Neutral"
"speed1","Positive"
"using jeff nah","Negative"
"replying to xqc bro when replies on kick gonna change to a thread formatpm another year","Negative"
"best strange ult notcinema","Negative"
"says its to cc the team so your team doesnt die but then ults luna only who is immune to cc","Negative"
"xqc also luna ult has cc immunity so theres no way youre killing her youre basically missing ult","Negative"
"cooked","Negative"
"speed1","Positive"
"speed1 i wanna get off","Positive"
"replying to mbpm xqcgoon","Neutral"
"xqc why u ulting luna ult lol you aint gonna kill her lil buddy lol","Negative"
"3 supp crazy","Positive"
"is your team doing anything at all","Negative"
"speed1","Positive"
"is it reset stream","Negative"
"go mad","Negative"
"diesofcringe","Negative"
"diesofcringe","Negative"
"diesofcringe","Negative"
"cringe","Negative"
"ger on the plane","Positive"
"iran","Neutral"
"ww","Positive"
"ww","Positive"
"pepeagony","Negative"
"ww","Positive"
"nortemshine just gifted 5 subs","Positive"
"nooi noooi","Positive"
"do a backflip","Neutral"
"waaald sheet","Neutral"
"send it","Positive"
"wwwww nortemshine","Positive"
"hello people","Positive"
"w subs","Positive"
"eww quick someone hand me a gun","Negative"
"in gta","Neutral"
"linda","Neutral"
"fucking creep","Negative"
"9n11 keno for 80k","Neutral"
"o7","Positive"
"leave","Negative"
"snipe","Negative"
"yes last year was great i guess too bad for this year lol must ve been your new year s resolution","Neutral"
"250x","Positive"
"go get your vs vs vs max","Positive"
"your are a","Negative"
"lol no say it was a good ult","Negative"
"good try on dagger","Positive"
"nice tilt ult now cope","Negative"
"cooked","Negative"
"explain that ult x lol","Negative"
"classic terrible ult","Negative"
"healer it s ruin this game","Negative"
"u gotta call those so ur retarded team actually shoots the c d","Negative"
"heal ult diff i guess","Negative"
"lol","Positive"
"xqc is strange ulting the cloak ult the same as ulting luna ult it wont kill","Negative"
"what rank is this","Negative"
"invicible cries too much pisses me off","Negative"
"replying to 24hr x9palaispm only god knows you gotta wait and see","Negative"
"oh dang","Neutral"
"ok","Neutral"
"replying to this is most likely his last game mhmpm nope","Negative"
"cuh","Neutral"
"not even two you had one lol luna didn t use","Negative"
"haircut when","Negative"
"disgusting loki champ perma ban it","Negative"
"just solo ult cloak after last ult tick fuck her","Negative"
"maximum copege stick to gamba","Negative"
"not a chance brother murphy is workin the calf and hasnt taken too much power shots yet hes working the body well too","Neutral"
"youtube","Neutral"
"www youtube com maxholloway","Neutral"
"replying to you cant score just off of the sig strikes lmaopm he landed the harder punches and more control time","Neutral"
"and i have money on emmett and cmon id never argue with blessed now","Neutral"
"and slammed him down in one of the takedowns","Neutral"
"max u posting picks this week","Neutral"
"on youtube","Neutral"
"stake","Neutral"
"sign up on stake us using my offer code blessedmma and receive 250k gold coins 25 stake cash for non us residents you can sign up on stake com using the same code blessedmma to receive exclusive bonuses","Neutral"
"get him in rotten","Negative"
"id have to be an idiot to argue with you","Positive"
"emmett literally isnt defending body kicks or leg kicks rn lmao","Negative"
"i missed the fights but i m here for some max wins","Positive"
"u guys april 17th darc ohana drop","Neutral"
"ngl 2 1 emmet tho","Neutral"
"darc","Neutral"
"check out the new partnership wolves forever shop darcsport com","Neutral"
"crazy how emmett is 40 man","Positive"
"commercial looked crazy","Positive"
"replying to emmet has more sig stirkes in 1 and 2pm you cant score just off of the sig strikes lmao","Neutral"
"emmet vs who","Neutral"
"replying to emmet vs who pm murphy","Neutral"
"emmett is getting a takedown for like 15 second control time lmao","Neutral"
"he has to be trolling","Negative"
"yo hit me up sometime bro i wanna get this community rocking again i have ideas lol","Positive"
"replying to he has to be trolling pm swear","Neutral"
"switchhh","Neutral"
"replying to emmett is getting a takedown for like 15 second control time lmaopm and he hasnt landed much","Neutral"
"u have dinner yet champ","Positive"
"man i love ufc in australia we have the best times to watch 30 start is amazing","Positive"
"replying to murphypm thx","Positive"
"i could see a 2 1 murphy but not even close to 3 0 or 2 1 emmett","Neutral"
"yo max","Neutral"
"favourite fighter of all time","Positive"
"2 1 emmett","Neutral"
"anything good u eat this weekend","Positive"
"rotten is being mean","Neutral"
"trenches","Neutral"
"yo max i collect cards and i just paid big bucks to get your rookie year autographed card was like 300 aud","Positive"
"shiit the emmet vs murphy card almost forgot who winnin","Neutral"
"brock lesnar be the only one to know who pays more of wwe and ufc","Neutral"
"i had it 5 0 josh","Neutral"
"i thought max longboarded lol maybe he skateboards only","Neutral"
"like im flying to america next year and i still cant gamble coz im 19 but i can gamble in australia","Neutral"
"yo why does this slot have music that is kinda vibey","Negative"
"who wins julian jarvis or josh emmet","Neutral"
"beat knockin","Positive"
"big fan didnt know you streamed glad i found it","Positive"
"the opening of wind breaker was so peak i hope this one is good to","Positive"
"replying to i had it 5 0 joshpm nah u just had money on him and lost","Neutral"
"max has gotta collab with stevewilldoit on a roobet stream one day","Neutral"
"emmett just lost","Neutral"
"replying to nah u just had money on him and lost pm i already lost all my money on auburn","Neutral"
